depth_below_mudline,relative_depth,scour_depth,spring_type,k_intact,k_scoured,alpha_fem,alpha,depth_below_scour
8.90967848300932,0.9580299444096041,0.5,t-z,6489.845703843497,10568.418163778151,1.628454457325417,0.9715355125644448,8.40967848300932
8.452771894137047,0.9089002036706502,0.5,t-z,3511.873944834487,7146.127684596365,2.0348474338344054,0.9699730956812247,7.952771894137047
7.995865305264773,0.8597704629316959,0.5,t-z,3442.844824863992,8587.280185534824,2.494239683275316,0.9682291469449409,7.495865305264773
7.538958716392498,0.8106407221927416,0.5,t-z,2716.748133754852,5613.974501587408,2.06643171364887,0.9662700675681702,7.038958716392498
7.082052127520225,0.7615109814537875,0.5,t-z,1877.579429602783,6480.483212567614,3.4515094863063194,0.9640534189920899,6.582052127520225
6.625145538647951,0.7123812407148333,0.5,t-z,2189.621162012868,7052.386212734442,3.2208248326625357,0.9615248097787266,6.125145538647951
6.168238949775677,0.6632514999758792,0.5,t-z,1997.2345024146337,7061.141507273495,3.535459405861783,0.9586133665213264,5.668238949775677
5.711332360903403,0.614121759236925,0.5,t-z,1701.6269472468791,7377.07041604118,4.335304179318973,0.9552249752760964,5.211332360903403
5.254425772031129,0.5649920184979709,0.5,t-z,1633.9890502365415,6299.452139217279,3.855259702202625,0.9512318977259567,4.754425772031129
4.797519183158856,0.5158622777590168,0.5,t-z,1630.0394725096933,9733.41162378572,5.971273572166725,0.9464562685739261,4.297519183158856
4.340612594286582,0.4667325370200625,0.5,t-z,1312.7000984738272,7809.679004302973,5.949324612211632,0.9406428047038246,3.840612594286582
3.883706005414308,0.41760279628110836,0.5,t-z,1663.862358214047,7801.715125791553,4.688918579879252,0.933411479617218,3.383706005414308
3.4267994165420346,0.3684730555421542,0.5,t-z,1164.219347974708,9666.717409107763,8.30317536461159,0.9241705771404061,2.9267994165420346
2.9698928276697605,0.31934331480320005,0.5,t-z,891.8759765780651,8735.552753410988,9.794582411477672,0.9119450402966038,2.4698928276697605
2.5129862387974864,0.27021357406424584,0.5,t-z,807.7824423604185,8165.415184716163,10.108433603552992,0.8950047655932273,2.0129862387974864
2.0560796499252127,0.2210838333252917,0.5,t-z,1375.3904449572813,7446.39571695205,5.41402315557262,0.8699533087586088,1.5560796499252127
1.599173061052939,0.17195409258633754,0.5,t-z,1511.2975014969372,5545.668676470862,3.6694751833956505,0.8290587463917358,1.099173061052939
1.142266472180665,0.12282435184738333,0.5,t-z,1777.033878333005,4677.5146548929615,2.632203421625721,0.7498491628028192,0.642266472180665
0.6853598833083909,0.07369461110842912,0.5,t-z,1898.5097645597607,3430.9046962322736,1.8071567290715806,0.5200541108962985,0.18535988330839093
0.2284532944361176,0.02456487036947501,0.5,t-z,1583.5196080300989,1045.7131735319922,0.6603727344007196,0.0,0.0
8.897997307777391,0.956773904062085,0.0,t-z,6489.845703843497,6489.845703843497,1.0,1.0,8.897997307777391
8.441689753532398,0.9077085756486448,0.0,t-z,3511.873944834487,3511.873944834487,1.0,1.0,8.441689753532398
7.985382199287401,0.8586432472352044,0.0,t-z,3442.844824863992,3442.844824863992,1.0,1.0,7.985382199287401
7.529074645042406,0.809577918821764,0.0,t-z,2716.748133754852,2716.748133754852,1.0,1.0,7.529074645042406
7.07276709079741,0.7605125904083236,0.0,t-z,1877.579429602783,1877.579429602783,1.0,1.0,7.07276709079741
6.616459536552415,0.7114472619948833,0.0,t-z,2189.621162012868,2189.621162012868,1.0,1.0,6.616459536552415
6.160151982307419,0.6623819335814429,0.0,t-z,1997.2345024146337,1997.2345024146337,1.0,1.0,6.160151982307419
5.703844428062424,0.6133166051680026,0.0,t-z,1701.6269472468791,1701.6269472468791,1.0,1.0,5.703844428062424
5.247536873817428,0.5642512767545621,0.0,t-z,1633.9890502365415,1633.9890502365415,1.0,1.0,5.247536873817428
4.791229319572433,0.5151859483411217,0.0,t-z,1630.0394725096933,1630.0394725096933,1.0,1.0,4.791229319572433
4.334921765327437,0.46612061992768133,0.0,t-z,1312.7000984738272,1312.7000984738272,1.0,1.0,4.334921765327437
3.878614211082442,0.41705529151424103,0.0,t-z,1663.862358214047,1663.862358214047,1.0,1.0,3.878614211082442
3.4223066568374465,0.3679899631008007,0.0,t-z,1164.219347974708,1164.219347974708,1.0,1.0,3.4223066568374465
