# Suction Bucket Foundation Stiffness Summary
# Generated by FEM Plate Processor
# Geometry: D = 8.0 m, L = 9.3 m
# Units: K [N/m or N¡¤m/rad], F [kN], disp [m]
#
scour_m,K_VV,K_VV_tangent,F_max_V,disp_max_V,lid_frac_V,skirt_frac_V,K_HH,K_HH_tangent,F_max_H,disp_max_H,lid_frac_H,skirt_frac_H,K_MM,K_MM_tangent,F_max_M,disp_max_M,lid_frac_M,skirt_frac_M
0.0,611646.4957168993,398737.48500113696,12234.159323794376,0.02000201,0.16770296563190865,0.8322970343680913,276407.4736679977,46628.37620312334,5531.717893845007,0.02001291,0.004463275323676408,0.9955367246763235,51944714.672422536,3401345.984860673,5474.537124442514,0.00010539161027192912,0.009735851949282205,0.9902641480507178
0.5,609700.3878388418,378576.4922609229,12199.690164391493,0.02000932,0.1704777808209219,0.8295222191790781,252709.99444214208,11300.454939068548,5054.131657144342,0.01999973,0.005225610319419139,0.9947743896805809,165462365.5420845,1076494.2189206677,5209.331782344671,3.148348426711998e-05,0.009695274562489814,0.9903047254375102
1.0,609621.8205043077,369619.0320303374,12189.973537931317,0.01999596,0.16557096962066828,0.8344290303793317,240011.78054657945,8355.872170389737,4812.682621870735,0.02005186,0.0016457935981510049,0.998354206401849,,,,,,
2.0,571822.4853819261,419031.09580736735,11413.702609170028,0.01996022,0.1665945352150371,0.8334054647849628,206509.44653181636,25393.50161680434,4147.864074164985,0.02008559,0.0004528560082731576,0.9995471439917268,24065230.31422173,162831.5350212005,4000.3632351331084,0.00016623000000000126,0.000845021546431479,0.9991549784535685
2.5,592713.3086614684,458252.69819322746,11945.55587702941,0.02015402,0.1589372716869714,0.8410627283130286,191441.72291518693,19310.91562803393,3873.373375139957,0.02023265,0.0006732420229345628,0.9993267579770655,35810369.036105074,1349984.2536791575,4283.280434932854,0.00011961006128181266,0.0006248670044673047,0.9993751329955326
3.0,590637.3159433786,519434.20532328915,11818.499126324861,0.02000974,0.16040800707743771,0.8395919929225623,181481.89372350476,2091.9603251665467,3688.575934275741,0.02032476,0.0005253996206834429,0.9994746003793166,7358763.933225016,525726.3351631217,3779.019630268379,0.0005135400000000006,0.0010359130257362936,0.9989640869742638
3.5,595755.4140254132,508305.651836653,12037.935174217884,0.02020617,0.1540496662101101,0.8459503337898898,180665.22026086715,12250.838142411763,3671.776703754776,0.02032365000000002,0.0002805191798692271,0.9997194808201307,,,,,,
4.0,594478.3219909596,588103.6243698843,11928.593941657899,0.02006565,0.14770972008055314,0.8522902799194468,187790.40675083984,2356.4332592956384,3789.262999547814,0.020178150019001796,0.0003018260693899248,0.99969817393061,4797503.809729512,958065.4559902045,3667.8835626906043,0.0007645400000000007,0.0005569927554007044,0.9994430072445993
