scour_m,z_m,spring_type,k_FEM,k_ref,alpha_FEM,alpha_theory,ratio_FEM_theory,r_squared,n_regression_points
0.500000,-3.500000,k_tz,1773.454117,4054.277160,0.437428,0.925820,0.472476,0.718555,5
0.500000,-4.000000,k_tz,1188.456986,229.283817,5.183344,0.935414,5.541228,0.089244,5
0.500000,-4.500000,k_tz,1097.026118,2721.425164,0.403107,0.942809,0.427560,0.121402,5
0.500000,-5.000000,k_tz,283.534654,5656.199613,0.050128,0.948683,0.052840,0.015647,5
0.500000,-5.500000,k_tz,630.077370,1315.643811,0.478912,0.953463,0.502287,0.030554,5
0.500000,-6.000000,k_tz,1143.849324,4011.991303,0.285108,0.957427,0.297785,0.202839,5
0.500000,-6.500000,k_tz,1530.584509,1182.523335,1.294338,0.960769,1.347189,0.071731,5
0.500000,-7.000000,k_tz,2909.001246,6496.250382,0.447797,0.963624,0.464701,0.641309,5
0.500000,-7.500000,k_tz,3000.990700,6284.402756,0.477530,0.966092,0.494290,0.305184,5
0.500000,-8.000000,k_tz,4815.176763,4222.353288,1.140401,0.968246,1.177801,0.966250,5
0.500000,-8.500000,k_tz,7858.867849,9558.657021,0.822173,0.970143,0.847476,0.802678,5
0.500000,-9.000000,k_tz,2877.483870,3852.451674,0.746923,0.971825,0.768577,0.300949,5
1.000000,0.000000,k_py,0.000000,556.164761,0.000000,0.000000,,0.000000,0
1.000000,-0.500000,k_py,408.241470,2285.306694,0.178637,0.000000,,0.664639,5
1.000000,-1.000000,k_py,155.036999,1023.659653,0.151454,0.000000,,0.001647,5
1.000000,-1.500000,k_py,7700.126577,11446.153016,0.672726,0.577350,1.165196,0.866192,5
1.000000,-2.000000,k_py,5545.318249,7167.900097,0.773632,0.707107,1.094081,0.309833,5
1.000000,-2.500000,k_py,3152.601979,25.445010,123.898632,0.774597,159.952446,0.050477,5
1.000000,-3.000000,k_py,4067.878741,4295.612216,0.946985,0.816497,1.159815,0.177658,5
1.000000,-3.500000,k_py,3964.786109,10236.762820,0.387309,0.845154,0.458270,0.456140,5
1.000000,-4.000000,k_py,4406.229233,6379.349251,0.690702,0.866025,0.797554,0.461041,5
1.000000,-4.500000,k_py,7464.363815,17985.581802,0.415019,0.881917,0.470588,0.264165,5
1.000000,-5.000000,k_py,2704.337385,5398.911809,0.500904,0.894427,0.560028,0.206987,5
1.000000,-5.500000,k_py,9680.961358,3024.927406,3.200395,0.904534,3.538169,0.328137,5
1.000000,-6.000000,k_py,5308.062506,4225.307160,1.256255,0.912871,1.376158,0.204198,5
1.000000,-6.500000,k_py,26599.560185,4739.202477,5.612666,0.919866,6.101611,0.773435,5
1.000000,-7.000000,k_py,1701.295671,338.970767,5.019004,0.925820,5.421144,0.005517,5
1.000000,-7.500000,k_py,14705.685440,2931.063182,5.017185,0.930949,5.389321,0.279494,5
1.000000,-8.000000,k_py,4303.422151,779.710561,5.519256,0.935414,5.900333,0.559364,5
1.000000,-8.500000,k_py,3528.749495,2497.578120,1.412869,0.939336,1.504113,0.029259,5
1.000000,-9.000000,k_py,3423.072015,5942.928856,0.575991,0.942809,0.610930,0.295394,5
1.000000,0.000000,k_tz,0.000000,177.896511,0.000000,0.000000,,0.000000,0
1.000000,-0.500000,k_tz,849.068021,118.617695,7.158022,0.000000,,0.914435,5
1.000000,-1.000000,k_tz,373.837700,559.326370,0.668371,0.000000,,0.149799,5
1.000000,-1.500000,k_tz,423.607472,583.259125,0.726277,0.577350,1.257948,0.066180,5
1.000000,-2.000000,k_tz,2399.024419,805.633652,2.977811,0.707107,4.211260,0.562193,5
1.000000,-2.500000,k_tz,1197.344718,1818.548527,0.658407,0.774597,0.850000,0.300491,5
1.000000,-3.000000,k_tz,223.390824,1948.364277,0.114656,0.816497,0.140424,0.020620,5
1.000000,-3.500000,k_tz,1881.278861,4054.277160,0.464023,0.845154,0.549040,0.607176,5
1.000000,-4.000000,k_tz,2722.530161,229.283817,11.874062,0.866025,13.710985,0.654879,5
1.000000,-4.500000,k_tz,514.513592,2721.425164,0.189060,0.881917,0.214374,0.260802,5
1.000000,-5.000000,k_tz,434.652633,5656.199613,0.076845,0.894427,0.085916,0.435642,5
1.000000,-5.500000,k_tz,1036.239871,1315.643811,0.787629,0.904534,0.870757,0.295109,5
1.000000,-6.000000,k_tz,354.178588,4011.991303,0.088280,0.912871,0.096706,0.027969,5
1.000000,-6.500000,k_tz,799.296904,1182.523335,0.675925,0.919866,0.734808,0.133785,5
1.000000,-7.000000,k_tz,481.931608,6496.250382,0.074186,0.925820,0.080130,0.033559,5
1.000000,-7.500000,k_tz,2710.107296,6284.402756,0.431243,0.930949,0.463230,0.732578,5
