scour_depth,depth_below_mudline,alpha_fem
0.5,8.90967848300932,1.628454457325417
0.5,8.452771894137047,2.0348474338344054
0.5,7.995865305264773,2.494239683275316
0.5,7.538958716392498,2.06643171364887
0.5,7.082052127520225,3.4515094863063194
0.5,6.625145538647951,3.2208248326625357
0.5,6.168238949775677,3.535459405861783
0.5,5.711332360903403,4.335304179318973
0.5,5.254425772031129,3.855259702202625
0.5,4.797519183158856,5.971273572166725
0.5,4.340612594286582,5.949324612211632
0.5,3.883706005414308,4.688918579879252
0.5,3.4267994165420346,8.30317536461159
0.5,2.9698928276697605,9.794582411477672
0.5,2.5129862387974864,10.108433603552992
0.5,2.0560796499252127,5.41402315557262
0.5,1.599173061052939,3.6694751833956505
0.5,1.142266472180665,2.632203421625721
0.5,0.6853598833083909,1.8071567290715806
0.5,0.2284532944361176,0.6603727344007196
0.0,8.897997307777391,1.0
0.0,8.441689753532398,1.0
0.0,7.985382199287401,1.0
0.0,7.529074645042406,1.0
0.0,7.07276709079741,1.0
0.0,6.616459536552415,1.0
0.0,6.160151982307419,1.0
0.0,5.703844428062424,1.0
0.0,5.247536873817428,1.0
0.0,4.791229319572433,1.0
0.0,4.334921765327437,1.0
0.0,3.878614211082442,1.0
0.0,3.4223066568374465,1.0
0.0,2.965999102592451,1.0
0.0,2.509691548347456,1.0
0.0,2.05338399410246,1.0
0.0,1.5970764398574646,1.0
0.0,1.1407688856124691,1.0
0.0,0.6844613313674737,1.0
0.0,0.2281537771224785,1.0
1.0,8.90652945041655,2.6263141534383334
1.0,8.449784350395188,3.161862059737777
1.0,7.993039250373825,3.1534467885365607
1.0,7.536294150352463,3.7127486879370544
1.0,7.0795490503311,5.389202002250478
1.0,6.622803950309738,5.9614024402376105
1.0,6.166058850288374,6.052596117965101
1.0,5.709313750267013,7.575801242962771
1.0,5.2525686502456495,8.25309312955718
1.0,4.795823550224288,9.672553183832765
1.0,4.3390784502029245,9.125242439421477
1.0,3.882333350181562,8.817646270200203
1.0,3.425588250160199,12.208836575157633
1.0,2.9688431501388366,16.140797428939806
1.0,2.512098050117474,16.389023601504295
1.0,2.055352950096112,8.362836273437479
1.0,1.5986078500747491,6.092824273823979
1.0,1.1418627500533869,4.374620822781309
1.0,0.6851176500320237,1.9346332824864487
1.0,0.2283725500106616,1.979881459886375
2.0,8.933052611350998,4.079320835715806
2.0,8.474947349230433,6.370685191518895
2.0,8.016842087109868,5.872109391688146
2.0,7.558736824989303,7.290477390233602
2.0,7.100631562868738,12.859818080958535
2.0,6.642526300748173,10.97691750570337
2.0,6.184421038627608,11.408223321843478
2.0,5.726315776507043,14.161088495304995
2.0,5.268210514386478,18.620605131206496
2.0,4.810105252265913,16.155841799383534
2.0,4.351999990145348,19.692712880076414
2.0,3.893894728024783,13.410320872326123
