db,diss_mean,diss_norm,count
-0.25,3.07537044342341,0.009826586994212459,56
0.25,8.834558866088052,0.02822865175112595,85
0.75,35.853451849322525,0.1145608537643311,325
1.25,312.9642514979721,1.0,781
1.75,172.59313234577894,0.5514787440408263,674
2.25,124.44331520915718,0.3976278907687434,528
2.75,97.62329391400677,0.3119311341367029,443
3.25,88.23269917627763,0.2819258070337447,362
3.75,91.67351899470744,0.2929200972824254,376
4.25,94.09208444266561,0.300648026067844,317
4.75,75.55465999574137,0.24141626282908207,145
5.25,39.609995296777775,0.12656396092265648,90
5.75,12.445489840875,0.03976649020233432,20
6.25,2.0476670634999996,0.00654281456651693,10
6.75,0.5896761025,0.0018841644043291663,4
7.75,5.13174444e-06,1.6397222415778857e-08,1
8.25,2.947744545416667e-06,9.418789945840722e-09,3
8.75,3.5486371466666662e-06,1.1338793902758763e-08,3
