run,S_D,scour_m,su0,k_su,Hmax_kN,H_ratio,V_ratio,f1_Hz,f1_f0,fixity_proxy
25,0.0,0.0,21.20385814668831,32.25951206240798,37552.0625,1.0,1.0,0.26451566574957336,1.0077020502211886,0.26166340099888197
26,0.0,0.0,17.4435138076005,28.15674863931928,34281.921875,1.0,1.0,0.26414536993442606,1.0062913668461422,0.2642398773006327
27,0.0,0.0,11.01522433397307,9.963701500235898,13683.4111328125,1.0,1.0,0.25813336123546704,0.9833879464580876,0.30236351872501005
28,0.0,0.0,24.33127812196676,19.840340726829485,26565.171875,1.0,1.0,0.2629670132727701,1.0018022851863562,0.2720620187483411
29,0.0,0.0,17.046827337033125,21.76126531543913,27726.1484375,1.0,1.0,0.2631667969744043,1.0025633835703294,0.2708436823027309
30,0.0,0.0,18.25589577813155,16.85415376954552,23212.013671875,1.0,1.0,0.26219702860076777,0.9988689423523245,0.27716834760642073
31,0.0,0.0,13.476570940144615,23.30438114377887,27144.732421875,1.0,1.0,0.26304428380972067,1.0020966559499407,0.2717289305868869
32,0.0,0.0,13.246246334195876,17.301393225708722,21804.140625,1.0,1.0,0.26178958871631075,0.9973167544856976,0.27991288881603293
33,0.0,0.0,14.775639541360162,27.84473951611625,34296.36328125,1.0,1.0,0.26414210424644474,1.0062789258420723,0.2642881364081962
34,0.0,0.0,12.380826005352484,23.358756550904808,28009.375,1.0,1.0,0.26320275045354874,1.002700352375348,0.2706831716869814
35,0.0,0.0,9.59150734529191,22.76546331125748,26895.13671875,1.0,1.0,0.26298460536612045,1.001869304236009,0.2721850440555146
36,0.0,0.0,14.215858396340073,23.22782578855045,27501.359375,1.0,1.0,0.26311436871359273,1.002363652239636,0.27124841449045806
37,0.0,0.0,17.24765753046268,15.99780408007208,21294.32421875,1.0,1.0,0.2616576947644679,0.996814289706127,0.2806623873485794
38,0.0,0.0,16.21092652679132,23.048549748136555,27838.955078125,1.0,1.0,0.2631827837880037,1.002624287127005,0.27076057534550085
39,0.0,0.0,19.525137739615506,20.69025714142987,26316.37890625,1.0,1.0,0.2629023707149705,1.0015560221234803,0.27256306332836244
40,0.0,0.0,14.413145894305762,19.68765469995605,24551.748046875,1.0,1.0,0.26250484195378365,1.0000415917908392,0.2752574529036959
41,0.0,0.0,21.543439870490563,27.38191829830016,34277.12109375,1.0,1.0,0.2641535581150964,1.0063225606373518,0.2641390492233953
42,0.0,0.0,11.478218644259472,17.164532401724447,22162.154296875,1.0,1.0,0.2618857109755412,0.9976829429964005,0.27932570790047767
43,0.0,0.0,8.612813971878818,14.349399679263506,18592.12109375,1.0,1.0,0.2606826222232544,0.9930996416677553,0.28703869221304784
